Nat_ItemID;ItemCode;DocKey;Description;Desc2;FurtherDescription;ItemGroup;ItemType;AssemblyCost;LeadTime;StockControl;HasSerialNo;HasBatchNo;DutyRate;Taxtype;Note;ImageFileName;CostingMethod;SalesUOM;PurchaseUOM;ReportUOM;LastModified;LastModifiedUserID;CreatedTimeStamp;CreatedUserID;IsActive;LastUpdate;SNFormatName;IsCalcBonusPoint;MarkupRatio;HasPromoter;GlobalCode;ItemBrand;ItemModel;LeadTimeDay;ExternalLink;Discontinued;AutoUOMConversion;BaseUOM;BackOrderControl;PurchaseTaxType
29;1139800772;37830199;MASKER KN 95;"";"";ST_LK;SUPPLIES;"";"";T;F;T;0;"";"";"";1;PCS;PCS;PCS;0000-00-00 00:00:00;1;0000-00-00 00:00:00;16;T;5;"";T;"";F;"";"";"";"";"";F;T;PCS;T;""
30;1130200875;37860513;ABBOTT CHOLESTEROL 2 - 1000 T (4S92.20 );"";"";ST_KIMIA;ST_KIMIA;"";"";T;F;T;0;"";"";"";1;KIT;KIT;KIT;0000-00-00 00:00:00;1;0000-00-00 00:00:00;1;T;1;"";T;"";F;"";"";"";"";"";F;T;KIT;T;""
31;1130309783;37866135;ARCHITECH  SARS - COV 2 IgG II QUANT CONTROL  ( 6S60.12 );"";"";ST_IMUNO;ST_IMMUN;"";"";T;F;T;0;"";"";"";1;KIT;KIT;KIT;0000-00-00 00:00:00;1;0000-00-00 00:00:00;1;T;1;"";T;"";F;"";"";"";"";"";F;T;KIT;T;""
32;1139902032;38148259;AMPLOP MEDICAL USG ( KLINIK UTAMA );"";"";ST_CETAK;SUPPLIES;"";"";T;F;T;0;"";"";"";1;LEMBAR;LEMBAR;LEMBAR;0000-00-00 00:00:00;1;2030-12-02 00:00:00;1;T;4;"";T;"";F;"";"";"";"";"";F;T;LEMBAR;T;""
33;1130309873;38279869;ELECSYS CALSET ANTI TSHR - 8496641190;"";"";ST_IMUNO;ST_IMMUN;"";"";T;F;T;0;"";"";"";1;SET;KIT;SET;0000-00-00 00:00:00;4;0000-00-00 00:00:00;1;T;3;"";T;"";F;"";"";"";"";"";F;T;SET;T;""
34;1139902050;38567371;COMPANY PROFILE PRAMITA LAB. - ( LIPAT A4 );"";"";ST_CETAK;CETAKAN;"";"";T;F;T;0;"";"";"";1;LEMBAR;LEMBAR;LEMBAR;0000-00-00 00:00:00;1;2027-07-01 00:00:00;1;T;3;"";T;"";F;"";"";"";"";"";F;T;LEMBAR;T;""
35;1139800916;38723046;KAPAS BOLA 75 GRAM ( ONE MED ) ;"";"";ST_SUPPL;SUPPLIES;"";"";T;F;T;0;"";"";"";1;PACK;PACK;PACK;0000-00-00 00:00:00;1;0000-00-00 00:00:00;1;T;2;"";T;"";F;"";"";"";"";"";F;T;PACK;T;""
36;1130208913;38844000;START 1000 T - COBAS C 503 - 8059322190;"";"";ST_KIMIA;ST_KIMIA;"";"";T;F;T;0;"";"";"";1;KIT;KIT;KIT;0000-00-00 00:00:00;1;0000-00-00 00:00:00;1;T;2;"";T;"";F;"";"";"";"";"";F;T;KIT;T;""
37;1139902058;39000606;AMPLOP HASIL ( LABORATORUM MEDIS  );"";"";ST_CETAK;CETAKAN;"";"";T;F;F;0;"";"";"";1;LEMBAR;LEMBAR;LEMBAR;0000-00-00 00:00:00;1;0000-00-00 00:00:00;1;F;2;"";T;"";F;"";"";"";"";"";F;T;LEMBAR;T;""
38;1130400539;39157332;ASAM ASETAT 6% - 1000 ML;"";"";ST_ULFL ;ST_KIMIA;"";"";T;F;T;0;"";"";"";2;BOTOL;BOTOL;BOTOL;0000-00-00 00:00:00;1;0000-00-00 00:00:00;1;T;5;"";T;"";F;"";"";"";"";"";F;T;BOTOL;T;""
39;1130309909;39388926;ELECSYS PRECI CTRL HIV G2 - 6924107190;"";"";ST_IMUNO;ST_IMMUN;"";"";T;F;T;0;"";"";"";1;KIT;KIT;KIT;0000-00-00 00:00:00;1;0000-00-00 00:00:00;1;T;2;"";T;"";F;"";"";"";"";"";F;T;KIT;T;""
40;1139902089;39559827;LETTER STEMPEL - 4929;"";"";ST_UMUM;ST_UMUM;"";"";T;F;T;0;"";"";"";1;PCS;PCS;PCS;0000-00-00 00:00:00;1;2005-05-01 00:00:00;1;T;3;"";T;"";F;"";"";"";"";"";F;T;PCS;T;""
41;1130309917;39625875;DENGUE IgM / IgG FIA - SD BIOSENSOR ( 10DEN20D );"";"";ST_IMUNO;ST_IMMUN;"";"";T;F;T;0;"";"";"";2;TEST;KIT;KIT;0000-00-00 00:00:00;0;0000-00-00 00:00:00;1;T;4;"";T;"";F;"";"";"";"";"";F;T;TEST;T;""
42;1130208944;39733056;TINA QUANT A β-2 MICROGLOBULIN  - 11660551216;"";"";ST_KIMIA;ST_KIMIA;"";"";T;F;F;0;"";"";"";1;KIT;KIT;KIT;0000-00-00 00:00:00;0;0000-00-00 00:00:00;1;T;7;"";T;"";F;"";"";"";"";"";F;T;KIT;T;""
43;1130309920;39814938;FEBRILE NEGATIVE CONTROL -  POLYVALENT NEGATIVE 1 x 1ml  FORTRESS  - FEBNCO01;"";"";ST_IMUNO;ST_IMMUN;"";"";T;F;T;0;"";"";"";2;VIAL;VIAL;VIAL;0000-00-00 00:00:00;1;0000-00-00 00:00:00;1;T;1;"";T;"";F;"";"";"";"";"";F;T;VIAL;T;""
44;1130309921;39814961;FEBRILE POSITIVE  CONTROL -  POLYVALENT POSITIVE 1 x 1ml  FORTRESS  - FEBPCO01;"";"";ST_IMUNO;ST_IMMUN;"";"";T;F;T;0;"";"";"";2;VIAL;VIAL;VIAL;0000-00-00 00:00:00;1;0000-00-00 00:00:00;1;T;1;"";T;"";F;"";"";"";"";"";F;T;VIAL;T;""
45;1130500829;39821314;"PEWARNA SAFRANIN 0,25 % - 100 ML";"";"";ST_MIKRO;REAGEN;"";"";T;F;T;0;"";"";"";2;BOTOL;BOTOL;BOTOL;0000-00-00 00:00:00;1;0000-00-00 00:00:00;1;T;2;"";T;"";F;"";"";"";"";"";F;T;BOTOL;T;""
46;1139800945;40284909;WELLNESS C BALL MINI 100 Gr;"";"";ST_LK;SUPPLIES;"";"";T;F;T;0;"";"";"";1;PACK;PACK;PACK;0000-00-00 00:00:00;1;0000-00-00 00:00:00;1;T;2;"";T;"";F;"";"";"";"";"";F;T;PACK;T;""
47;1139800948;40433556;TUBE HEPARIN 4 ML - KANG JIAN ( KJH040SH );"";"";ST_LK;SUPPLIES;"";"";T;F;T;0;"";"";"";1;PCS;PCS;PCS;0000-00-00 00:00:00;1;0000-00-00 00:00:00;1;T;3;"";T;"";F;"";"";"";"";"";F;T;PCS;T;""
48;1139800949;40433633;TUBE GLUCOSE 3 ML - KANG JIAN  ( KJ030FX );"";"";ST_LK;SUPPLIES;"";"";T;F;T;0;"";"";"";1;PCS;PCS;PCS;0000-00-00 00:00:00;1;2052-12-03 00:00:00;1;T;3;"";T;"";F;"";"";"";"";"";F;T;PCS;T;""
49;1130309930;40433739;HIV 1.2.0 RAPID TEST CASSETTE - 25 T ( IHIV-C42 );"";"";ST_IMUNO;ST_IMMUN;"";"";T;F;T;0;"";"";"";2;TEST;TEST;TEST;0000-00-00 00:00:00;1;2058-00-02 00:00:00;1;T;1;"";T;"";F;"";"";"";"";"";F;T;TEST;T;""
50;1130200851;38401008;ALINITY C IRON 2300 T - 8P39.20;"";"";ST_KIMIA;ST_KIMIA;"";"";T;F;T;0;"";"";"";1;KIT;KIT;KIT;0000-00-00 00:00:00;1;2036-04-07 00:00:00;1;T;1;"";T;"";F;"";"";"";"";"";F;T;KIT;T;""
51;1130200852;38401014;ALINITY C IRON CALBRATOR - 4U75.01;"";"";ST_KIMIA;ST_KIMIA;"";"";T;F;T;0;"";"";"";1;KIT;KIT;KIT;0000-00-00 00:00:00;1;2037-05-00 00:00:00;1;T;1;"";T;"";F;"";"";"";"";"";F;T;KIT;T;""
52;1139902043;38434558;TINTA STEMPEL BIASA ( BIRU );"";"";ST_RTU;ST_UMUM;"";"";T;F;T;0;"";"";"";1;BOTOL;BOTOL;BOTOL;0000-00-00 00:00:00;1;0000-00-00 00:00:00;1;T;2;"";T;"";F;"";"";"";"";"";F;T;BOTOL;T;""
53;1139902044;38434562;SABUN CUCI PAKAIAN ( SACHET );"";"";ST_RTU;ST_UMUM;"";"";T;F;T;0;"";"";"";1;SACHET;SACHET;SACHET;0000-00-00 00:00:00;1;0000-00-00 00:00:00;1;T;3;"";T;"";F;"";"";"";"";"";F;T;SACHET;T;""
54;1139902045;38434566;DOCUMENT KEEPER / CLEAR HOLDER  ISI 20 ( F4 );"";"";ST_UMUM;ST_ADMIN;"";"";T;F;T;0;"";"";"";1;PCS;PCS;PCS;0000-00-00 00:00:00;1;0000-00-00 00:00:00;1;T;5;"";T;"";F;"";"";"";"";"";F;T;PCS;T;""
55;1130200849;38539714;C - REACTIVE PROTEIN ( LATEX ) GEN 3 -  CRPL 3 - 8057575190;"";"";ST_KIMIA;ST_KIMIA;"";"";T;F;T;0;"";"";"";1;KIT;KIT;KIT;0000-00-00 00:00:00;1;0000-00-00 00:00:00;1;T;1;"";T;"";F;"";"";"";"";"";F;T;KIT;T;""
56;1130700029;39731159;ELEKTRODE ECG ARBO 200 MEDITRACE 100  ( REFF 31050522 ) -   KENDALL ;"";"";ST_EJPD;SUPPLIES;"";"";T;F;T;0;"";"";"";2;PAK;PAK;PAK;0000-00-00 00:00:00;1;0000-00-00 00:00:00;1;T;4;"";T;"";F;"";"";"";"";"";F;T;PAK;T;""
57;1130309918;39731336;ELECSYS TG II E 2 G 300 TEST - 8906564190 ;COBAS 8000;"";ST_IMUNO;ST_IMMUN;"";"";T;F;T;0;"";"";"";1;KIT;KIT;KIT;0000-00-00 00:00:00;1;0000-00-00 00:00:00;1;T;2;"";T;"";F;"";"";"";"";"";F;T;KIT;T;""
58;1130500830;39906109;MAC CONKEY AGAR CM 0007 - OXOID;"";"";ST_MIKRO;REAGEN;"";"";T;F;T;0;"";"";"";2;BOTOL;BOTOL;BOTOL;0000-00-00 00:00:00;1;2042-07-00 00:00:00;1;T;2;"";T;"";F;"";"";"";"";"";F;T;BOTOL;T;""
59;1130700031;39909815;"ELECTRODE ECG DISPOSIBLE FOR TREADMIL SF 40, SF 11 ( 50 PACK PER PACK ) - ENDO";"";"";ST_EJPD;SUPPLIES;"";"";T;F;T;0;"";"";"";1;PACK;PACK;PACK;0000-00-00 00:00:00;1;0000-00-00 00:00:00;1;T;4;"";T;"";F;"";"";"";"";"";F;T;PACK;T;""
60;1130500834;40356088;MICROSCAN Inoculum Water with Pluronic  25  ml BECKMAN COULTER  ;"";"";ST_MIKRO;REAGEN;"";"";T;F;T;0;"";"";"";1;BOTOL;BOTOL;BOTOL;0000-00-00 00:00:00;0;0000-00-00 00:00:00;1;T;4;"";T;"";F;"";"";"";"";"";F;T;BOTOL;T;""
61;1130500835;40356284;MICROSCAN Neg Combo Panel Type 67 BECKMAN COULTER  ( B 1017 - 421 );"";"";ST_MIKRO;REAGEN;"";"";T;F;T;0;"";"";"";1;TEST;TEST;TEST;0000-00-00 00:00:00;1;0000-00-00 00:00:00;1;T;9;"";T;"";F;"";"";"";"";"";F;T;TEST;T;""
62;1130400552;41045222;LIQUICHEK URINALYSIS CTRL BIORAD  - BILEVEL ( LEVEL 1 & 2 )  KAT. 435;"Box of 12, 6 of each level (12 x 12 mL)";"";ST_UL;ST_KIMIA;"";"";T;F;T;0;"";"";"";2;VIAL;VIAL;VIAL;0000-00-00 00:00:00;1;0000-00-00 00:00:00;1;T;2;"";T;"";F;"";"";"";"";"";F;T;VIAL;T;""
63;1139800946;40356492;INTRA - UTERINE INSEMINATION CATHETERS 180 mm- A1C18 ( COOPER SURGICAL );"";"";ST_LK;SUPPLIES;"";"";T;F;T;0;"";"";"";1;PCS;PCS;PCS;0000-00-00 00:00:00;0;2004-09-01 00:00:00;1;T;3;"";T;"";F;"";"";"";"";"";F;T;PCS;T;""
64;1130209017;42831199;ALBUMIN FS - 102209910022  - PROLINE ;"";"";ST_KIMIA;ST_KIMIA;"";"";T;F;T;0;"";"";"";1;KIT;KIT;KIT;0000-00-00 00:00:00;1;0000-00-00 00:00:00;1;T;3;"";T;"";F;"";"";"";"";"";F;T;KIT;T;""
65;1139902176;42831255;BALIHO;"";"";ST_RTU;SUPPLIES;"";"";T;F;F;0;"";"";"";1;PCS;PCS;PCS;0000-00-00 00:00:00;1;0000-00-00 00:00:00;1;T;1;"";T;"";F;"";"";"";"";"";F;T;PCS;T;""
66;1139902177;42831268;SPANDUK BANNER;"";"";ST_RTU;SUPPLIES;"";"";T;F;T;0;"";"";"";1;PCS;PCS;PCS;0000-00-00 00:00:00;1;2052-08-09 00:00:00;1;T;1;"";T;"";F;"";"";"";"";"";F;T;PCS;T;""
67;1139902185;42999537;REFILL TONER HP 12 A;"";"";ST_RTU;ST_ADMIN;"";"";T;F;T;0;"";"";"";1;PCS;PCS;PCS;0000-00-00 00:00:00;1;0000-00-00 00:00:00;1;T;3;"";T;"";F;"";"";"";"";"";F;T;PCS;T;""
68;1130209021;43175148;ISE REFERENCE ELECTROLYTE 300 ML - 11360981216;"";"";ST_KIMIA;ST_KIMIA;"";"";T;F;T;0;"";"";"";1;KIT;KIT;KIT;0000-00-00 00:00:00;2;0000-00-00 00:00:00;1;T;2;"";T;"";F;"";"";"";"";"";F;T;KIT;T;""
69;1130208902;38378349;CC URIC ACID 1300 TEST - 3P39.22;"";"";ST_KIMIA;ST_KIMIA;"";"";T;F;T;0;"";"";"";1;KIT;KIT;KIT;0000-00-00 00:00:00;1;0000-00-00 00:00:00;1;T;1;"";T;"";F;"";"";"";"";"";F;T;KIT;T;""
70;1130208903;38378370;ABBOTT CREATININ 3600T - 4S95.20;"";"";ST_KIMIA;ST_KIMIA;"";"";T;F;T;0;"";"";"";1;KIT;KIT;KIT;0000-00-00 00:00:00;1;0000-00-00 00:00:00;1;T;1;"";T;"";F;"";"";"";"";"";F;T;KIT;T;""
71;1130309914;39574808;STANDART F NS 1 Ag FIA - SD BIOSENSOR ( 10DEN10D );"";"";ST_IMUNO;ST_IMMUN;"";"";T;F;T;0;"";"";"";2;TEST;KIT;TEST;0000-00-00 00:00:00;0;0000-00-00 00:00:00;1;T;6;"";T;"";F;"";"";"";"";"";F;T;TEST;T;""
72;1130309915;39594002;DENGUE NS 1 Ag 25 TEST - WONDFO;"";"";ST_IMUNO;ST_IMMUN;"";"";T;F;T;0;"";"";"";1;TEST;KIT;TEST;0000-00-00 00:00:00;1;0000-00-00 00:00:00;1;T;2;"";T;"";F;"";"";"";"";"";F;T;TEST;T;""
73;1130400542;39594257;STERIZYME 5 LITER - J1001;"";"";ST_ULFL ;ST_KIMIA;"";"";T;F;T;0;"";"";"";2;GALON;GALON;GALON;0000-00-00 00:00:00;1;0000-00-00 00:00:00;1;T;3;"";T;"";F;"";"";"";"";"";F;T;GALON;T;""
74;1130500828;39702641;GENE Xpert ® HCV VIRAL LOAD;"";"";ST_MD;REAGEN;"";"";T;F;T;0;"";"";"";1;TEST;BOX;TEST;0000-00-00 00:00:00;1;0000-00-00 00:00:00;1;T;3;"";T;"";F;"";"";"";"";"";F;T;TEST;T;""
75;1130309960;41266347;BRAHMS PLGF PLUS K - CAL ( BR 85991 );"";"";ST_IMUNO;ST_IMMUN;"";"";T;F;T;0;"";"";"";2;KIT;KIT;KIT;0000-00-00 00:00:00;1;2018-08-02 00:00:00;1;T;2;"";T;"";F;"";"";"";"";"";F;T;KIT;T;""
76;1130309959;41266332;BRAHMS PLGF PLUS K - 075 ( BR 859.075 );"";"";ST_IMUNO;ST_IMMUN;"";"";T;F;T;0;"";"";"";2;KIT;KIT;KIT;0000-00-00 00:00:00;1;0000-00-00 00:00:00;1;T;1;"";T;"";F;"";"";"";"";"";F;T;KIT;T;""
77;1130309961;41266358;BRAHMS PLGF PLUS K - QC ( BR 85992 );"";"";ST_IMUNO;ST_IMMUN;"";"";T;F;T;0;"";"";"";2;KIT;KIT;KIT;0000-00-00 00:00:00;1;0000-00-00 00:00:00;1;T;2;"";T;"";F;"";"";"";"";"";F;T;KIT;T;""
78;1130208969;41289517;ABBOTT ALBUMIN BCG 2 1044 T - 4T34.20;"";"";ST_KIMIA;ST_KIMIA;"";"";T;F;T;0;"";"";"";2;KIT;KIT;KIT;0000-00-00 00:00:00;1;0000-00-00 00:00:00;1;T;2;"";T;"";F;"";"";"";"";"";F;T;KIT;T;""
79;1130208970;41329875;ABBOTT ALANINE AMINOTRANSFERASE / ALT ( 1200 T ) - 4S88.20;"";"";ST_KIMIA;ST_KIMIA;"";"";T;F;T;0;"";"";"";2;KIT;KIT;KIT;0000-00-00 00:00:00;1;0000-00-00 00:00:00;1;T;5;"";T;"";F;"";"";"";"";"";F;T;KIT;T;""
80;1139902122;41506575;TEH BOTOL SOSRO 220 ML;"";"";ST_UMUM;KONSUMSI;"";"";T;F;T;0;"";"";"";1;BOTOL;BOTOL;BOTOL;0000-00-00 00:00:00;1;0000-00-00 00:00:00;1;T;2;"";T;"";F;"";"";"";"";"";F;T;BOTOL;T;""
81;1130600063;41507132;CASSETTE  + IP  UKURAN  35 X 43;"";"";ST_CR;ST_RADIO;"";"";T;F;T;0;"";"";"";1;PCS;PCS;PCS;0000-00-00 00:00:00;1;0000-00-00 00:00:00;1;T;3;"";T;"";F;"";"";"";"";"";F;T;PCS;T;""
82;1130309968;41511593;ELECSYS CMV IgG E2G 300 V2 - 9118551190;"";"";ST_IMUNO;ST_IMMUN;"";"";T;F;T;0;"";"";"";2;KIT;KIT;KIT;0000-00-00 00:00:00;1;0000-00-00 00:00:00;1;T;1;"";T;"";F;"";"";"";"";"";F;T;KIT;T;""
83;1130100188;41511668;ABX DILUENT 20 LITER - 901020;"";"";ST_HEMA;ST_HEMA;"";"";T;F;T;0;"";"";"";1;GALON;GALON;GALON;0000-00-00 00:00:00;1;2048-01-05 00:00:00;1;T;1;"";T;"";F;"";"";"";"";"";F;T;GALON;T;""
84;1130100189;41511669;ABX BASOLYSER 5 LITER - 204050;"";"";ST_HEMA;ST_HEMA;"";"";T;F;T;0;"";"";"";1;GALON;GALON;GALON;0000-00-00 00:00:00;1;0000-00-00 00:00:00;1;T;1;"";T;"";F;"";"";"";"";"";F;T;GALON;T;""
85;1130100190;41511670;ABX CLEANER 1 LITER - 903010;"";"";ST_HEMA;ST_HEMA;"";"";T;F;T;0;"";"";"";1;BOTOL;BOTOL;BOTOL;0000-00-00 00:00:00;1;0000-00-00 00:00:00;1;T;1;"";T;"";F;"";"";"";"";"";F;T;BOTOL;T;""
