M_ItemCode,M_ItemDesc,ItemType,ItemGroup,ItemCategoryName,BaseUOM,PurchaseUOM
1130309712,ALINITY I SCC REAGEN 200 T - 9P33.22,REAGEN,ST_IMUNO,Persediaan,CATRIDGE,KIT
1139800772,MASKER KN 95,SUPPLIES,ST_LK,Persediaan,PCS,PCS
1130200875,ABBOTT CHOLESTEROL 2 - 1000 T (4S92.20 ),ST_KIMIA,ST_KIMIA,Inventaris,KIT,KIT
1130309783,ARCHITECH  SARS - COV 2 IgG II QUANT CONTROL  ( 6S60.12 ),ST_IMMUN,ST_IMUNO,Inventaris,KIT,KIT
1139902032,AMPLOP MEDICAL USG ( KLINIK UTAMA ),SUPPLIES,ST_CETAK,Persediaan,LEMBAR,LEMBAR
1130309873,ELECSYS CALSET ANTI TSHR - 8496641190,ST_IMMUN,ST_IMUNO,Inventaris,SET,KIT
1139902050,COMPANY PROFILE PRAMITA LAB. - ( LIPAT A4 ),CETAKAN,ST_CETAK,Inventaris,LEMBAR,LEMBAR
1139800916,KAPAS BOLA 75 GRAM ( ONE MED ) ,SUPPLIES,ST_SUPPL,Persediaan,PACK,PACK
1130208913,START 1000 T - COBAS C 503 - 8059322190,ST_KIMIA,ST_KIMIA,Inventaris,KIT,KIT
1139902058,AMPLOP HASIL ( LABORATORUM MEDIS  ),CETAKAN,ST_CETAK,Inventaris,LEMBAR,LEMBAR
1130400539,ASAM ASETAT 6% - 1000 ML,ST_KIMIA,ST_ULFL ,Inventaris,BOTOL,BOTOL
1130309909,ELECSYS PRECI CTRL HIV G2 - 6924107190,ST_IMMUN,ST_IMUNO,Inventaris,KIT,KIT
1139902089,LETTER STEMPEL - 4929,ST_UMUM,ST_UMUM,Inventaris,PCS,PCS
1130309917,DENGUE IgM / IgG FIA - SD BIOSENSOR ( 10DEN20D ),ST_IMMUN,ST_IMUNO,Persediaan,TEST,KIT
1130208944,TINA QUANT A β-2 MICROGLOBULIN  - 11660551216,ST_KIMIA,ST_KIMIA,Inventaris,KIT,KIT
1130309920,FEBRILE NEGATIVE CONTROL -  POLYVALENT NEGATIVE 1 x 1ml  FORTRESS  - FEBNCO01,ST_IMMUN,ST_IMUNO,Inventaris,VIAL,VIAL
1130309921,FEBRILE POSITIVE  CONTROL -  POLYVALENT POSITIVE 1 x 1ml  FORTRESS  - FEBPCO01,ST_IMMUN,ST_IMUNO,Inventaris,VIAL,VIAL
1130500829,"PEWARNA SAFRANIN 0,25 % - 100 ML",REAGEN,ST_MIKRO,Persediaan,BOTOL,BOTOL
1139800945,WELLNESS C BALL MINI 100 Gr,SUPPLIES,ST_LK,Persediaan,PACK,PACK
1139800948,TUBE HEPARIN 4 ML - KANG JIAN ( KJH040SH ),SUPPLIES,ST_LK,Persediaan,PCS,PCS
1139800949,TUBE GLUCOSE 3 ML - KANG JIAN  ( KJ030FX ),SUPPLIES,ST_LK,Persediaan,PCS,PCS
1130309930,HIV 1.2.0 RAPID TEST CASSETTE - 25 T ( IHIV-C42 ),ST_IMMUN,ST_IMUNO,Persediaan,TEST,TEST
1130200851,ALINITY C IRON 2300 T - 8P39.20,ST_KIMIA,ST_KIMIA,Inventaris,KIT,KIT
1130200852,ALINITY C IRON CALBRATOR - 4U75.01,ST_KIMIA,ST_KIMIA,Inventaris,KIT,KIT
1139902043,TINTA STEMPEL BIASA ( BIRU ),ST_UMUM,ST_RTU,Inventaris,BOTOL,BOTOL
1139902044,SABUN CUCI PAKAIAN ( SACHET ),ST_UMUM,ST_RTU,Inventaris,SACHET,SACHET
1139902045,DOCUMENT KEEPER / CLEAR HOLDER  ISI 20 ( F4 ),ST_ADMIN,ST_UMUM,Inventaris,PCS,PCS
1130200849,C - REACTIVE PROTEIN ( LATEX ) GEN 3 -  CRPL 3 - 8057575190,ST_KIMIA,ST_KIMIA,Inventaris,KIT,KIT
1130700029,ELEKTRODE ECG ARBO 200 MEDITRACE 100  ( REFF 31050522 ) -   KENDALL ,SUPPLIES,ST_EJPD,Persediaan,PAK,PAK
1130309918,ELECSYS TG II E 2 G 300 TEST - 8906564190 ,ST_IMMUN,ST_IMUNO,Persediaan,KIT,KIT
1130500830,MAC CONKEY AGAR CM 0007 - OXOID,REAGEN,ST_MIKRO,Persediaan,BOTOL,BOTOL
1130700031,"ELECTRODE ECG DISPOSIBLE FOR TREADMIL SF 40, SF 11 ( 50 PACK PER PACK ) - ENDO",SUPPLIES,ST_EJPD,Persediaan,PACK,PACK
1130500834,MICROSCAN Inoculum Water with Pluronic  25  ml BECKMAN COULTER  ,REAGEN,ST_MIKRO,Persediaan,BOTOL,BOTOL
1130500835,MICROSCAN Neg Combo Panel Type 67 BECKMAN COULTER  ( B 1017 - 421 ),REAGEN,ST_MIKRO,Persediaan,TEST,TEST
1130400552,LIQUICHEK URINALYSIS CTRL BIORAD  - BILEVEL ( LEVEL 1 & 2 )  KAT. 435,ST_KIMIA,ST_UL,Inventaris,VIAL,VIAL
1139800946,INTRA - UTERINE INSEMINATION CATHETERS 180 mm- A1C18 ( COOPER SURGICAL ),SUPPLIES,ST_LK,Persediaan,PCS,PCS
1130209017,ALBUMIN FS - 102209910022  - PROLINE ,ST_KIMIA,ST_KIMIA,Inventaris,KIT,KIT
1139902176,BALIHO,SUPPLIES,ST_RTU,Persediaan,PCS,PCS
1139902177,SPANDUK BANNER,SUPPLIES,ST_RTU,Persediaan,PCS,PCS
1139902185,REFILL TONER HP 12 A,ST_ADMIN,ST_RTU,Inventaris,PCS,PCS
1130209021,ISE REFERENCE ELECTROLYTE 300 ML - 11360981216,ST_KIMIA,ST_KIMIA,Inventaris,KIT,KIT
1130208902,CC URIC ACID 1300 TEST - 3P39.22,ST_KIMIA,ST_KIMIA,Persediaan,KIT,KIT
1130208903,ABBOTT CREATININ 3600T - 4S95.20,ST_KIMIA,ST_KIMIA,Inventaris,KIT,KIT
1130309914,STANDART F NS 1 Ag FIA - SD BIOSENSOR ( 10DEN10D ),ST_IMMUN,ST_IMUNO,Persediaan,TEST,KIT
1130309915,DENGUE NS 1 Ag 25 TEST - WONDFO,ST_IMMUN,ST_IMUNO,Persediaan,TEST,KIT
1130400542,STERIZYME 5 LITER - J1001,ST_KIMIA,ST_ULFL ,Inventaris,GALON,GALON
1130500828,GENE Xpert ® HCV VIRAL LOAD,REAGEN,ST_MD,Persediaan,TEST,BOX
1130309960,BRAHMS PLGF PLUS K - CAL ( BR 85991 ),ST_IMMUN,ST_IMUNO,Inventaris,KIT,KIT
1130309959,BRAHMS PLGF PLUS K - 075 ( BR 859.075 ),ST_IMMUN,ST_IMUNO,Inventaris,KIT,KIT
1130309961,BRAHMS PLGF PLUS K - QC ( BR 85992 ),ST_IMMUN,ST_IMUNO,Inventaris,KIT,KIT
1130208969,ABBOTT ALBUMIN BCG 2 1044 T - 4T34.20,ST_KIMIA,ST_KIMIA,Inventaris,KIT,KIT
1130208970,ABBOTT ALANINE AMINOTRANSFERASE / ALT ( 1200 T ) - 4S88.20,ST_KIMIA,ST_KIMIA,Inventaris,KIT,KIT
1139902122,TEH BOTOL SOSRO 220 ML,KONSUMSI,ST_UMUM,Inventaris,BOTOL,BOTOL
1130600063,CASSETTE  + IP  UKURAN  35 X 43,ST_RADIO,ST_CR,Persediaan,PCS,PCS
1130309968,ELECSYS CMV IgG E2G 300 V2 - 9118551190,ST_IMMUN,ST_IMUNO,Inventaris,KIT,KIT
1130100188,ABX DILUENT 20 LITER - 901020,ST_HEMA,ST_HEMA,Inventaris,GALON,GALON
1130100189,ABX BASOLYSER 5 LITER - 204050,ST_HEMA,ST_HEMA,Inventaris,GALON,GALON
1130100190,ABX CLEANER 1 LITER - 903010,ST_HEMA,ST_HEMA,Inventaris,BOTOL,BOTOL
1130100191,NUCEDIFF 1 LITER - 1300027030,ST_HEMA,ST_HEMA,Inventaris,BOTOL,BOTOL
1130100192,ABX LYSEBIO 1 LITER - 906012,ST_HEMA,ST_HEMA,Inventaris,BOTOL,BOTOL
1130100193,"ABX MINOCLAIR 0,5 LITER - 401005",ST_HEMA,ST_HEMA,Inventaris,BOTOL,BOTOL
1130100194,MINOCALCALIBRATOR 2 ML - 2032002,ST_HEMA,ST_HEMA,Inventaris,PCS,PCS
1130100195,DIFFTROL 2N 3 ML - 2062203,ST_HEMA,ST_HEMA,Persediaan,VIAL,VIAL
1130100196,DIFFTROL 2L 3 ML - 2062207,ST_HEMA,ST_HEMA,Persediaan,VIAL,VIAL
1130100197,DIFFTROL 2H 3 ML - 2062208,ST_HEMA,ST_HEMA,Persediaan,VIAL,VIAL
1130208980,ALINITY C TOTAL BILIRUBIN 2750 T - 4V51.21,ST_KIMIA,ST_KIMIA,Inventaris,BOTOL,KIT
1130208901,TOTAL PROTEIN GEN 2  c 503 - 8058652190,ST_KIMIA,ST_KIMIA,Inventaris,KIT,KIT
1130309787,ELECSYS TSH 300 T -  8443432190 ,ST_IMMUN,ST_IMUNO,Inventaris,KIT,KIT
1130200842,BIL D2 1000T COBAS C 503 - 8056951190,ST_KIMIA,ST_KIMIA,Inventaris,KIT,KIT
1130200843,BILT3 1050 T COBAS C 503 - 8056960190,ST_KIMIA,ST_KIMIA,Inventaris,KIT,KIT
1130309992,MEDICHECK COVID 19 - ANTIGEN TEST KIT COLLOIDAL GOLD 25 T ,ST_IMMUN,ST_IMUNO,Persediaan,TEST,KIT
1139902167,LAMPU TL 15  WATT,ST_UMUM,ST_RTU,Inventaris,PCS,PCS
1130309993,INTERSKALA  COVID 19 ( SARS -CoV - 2 ) ANTIGEN TEST KIT COLLOIDAL GOLD 25 T  ( NASAL SWAB ),ST_IMMUN,ST_IMUNO,Persediaan,TEST,KIT
1130100180,"LYSERCELL WPC 2 X 1,5 LITER SYSMEX - CS 412800",ST_HEMA,ST_HEMA,Inventaris,BOTOL,BOX
1130100181,FLUOROCELL WPC 2 X 12 ML SYSMEX - BU306227,ST_HEMA,ST_HEMA,Inventaris,CATRIDGE,BOX
1130100182,FLUOROCELL RET 2 X 12 ML SYSMEX - BN337547,ST_HEMA,ST_HEMA,Inventaris,BOTOL,BOX
1130100183,FLUOROCELL PLT 2 X 12 ML SYSMEX - CD994563,ST_HEMA,ST_HEMA,Inventaris,CATRIDGE,BOX
1130100184,FLUOROCELL WDF 2 X 22 ML SYSMEX - AA325279 ( XN 550 ),ST_HEMA,ST_HEMA,Inventaris,CATRIDGE,BOX
1130100177,SULFOLYSER 3 X 500 ML SYSMEX - P90411317 ,ST_HEMA,ST_HEMA,Inventaris,BOTOL,BOX
1130100178,FLUOROCELL WNR 2 X 82 ML SYSMEX - CP066715,ST_HEMA,ST_HEMA,Inventaris,BOTOL,BOX
1130100179,FLUOROCELL WDF 2 X 42 ML SYSMEX - CV377552 ( XN 1000 ),ST_HEMA,ST_HEMA,Inventaris,BOTOL,BOX
1139902168,REFILL TONER HP 26 A,ST_ADMIN,ST_RTU,Inventaris,pcs,pcs
1130310008,HIV 1/2  Ab 3 - LINE ( FAST CLEAR Q ) - STANDART BIOSENSOR  REF.FCQ-HIV-01A,ST_IMMUN,ST_IMUNO,Persediaan,TEST,KIT
1130200014,CC ACID WASH - 6K01.20,ST_KIMIA,ST_KIMIA,Inventaris,BOTOL,KIT
1130200015,MULTI CLEAN - 11360418316,ST_KIMIA,ST_KIMIA,Inventaris,BOTOL,KIT
1130200016,CUP SAMPLE HITACHI,ST_KIMIA,ST_CL,Inventaris,PAK,PAK
1130200017,CC TRIGLYSERIDE - 7D74.21,ST_KIMIA,ST_KIMIA,Inventaris,BOTOL,KIT
1130200019,CC ALT / ALANINE AMINOTRANSFERASE   - 7D56.21,ST_KIMIA,ST_KIMIA,Inventaris,SET,KIT
1130200021,CC CHOLESTEROL - 7D62.21,ST_KIMIA,ST_KIMIA,Inventaris,BOTOL,KIT
1130200022,CC AST / ASPARTATE AMINOTRANFERASE - 7D81.21,ST_KIMIA,ST_KIMIA,Inventaris,SET,KIT
1130200023,CTRL LP(A) DAICHI H ( 228001 ),ST_KIMIA,ST_KIMIA,Inventaris,VIAL,VIAL
1130200024,CTRL LP(A) DAICHI L ( 227998 ),ST_KIMIA,ST_KIMIA,Inventaris,VIAL,VIAL
1130200041,APO B AUTO N DAIICHI ( 241819 ),ST_KIMIA,ST_KIMIA,Inventaris,KIT,KIT
1130200042,APO A AUTO N DAIICHI  R1 & R2 ( 241765 ),ST_KIMIA,ST_KIMIA,Inventaris,KIT,KIT
1130200057,"SNAPPAK 9180,9181 - 3112349180",ST_KIMIA,ST_KIMIA,Inventaris,KIT,KIT
1130200058,CC HDL LIQ OEM - 3K33.21,ST_KIMIA,ST_KIMIA,Inventaris,SET,KIT
1130200061,CC LDL DIRECT MLTGN - 1E31.20,ST_KIMIA,ST_KIMIA,Inventaris,SET,KIT
1130200063,CALIB LP(A) H ( 226700 ),ST_KIMIA,ST_KIMIA,Inventaris,VIAL,VIAL
1130200064,CALIB LP(A) L ( 226601 ),ST_KIMIA,ST_KIMIA,Inventaris,VIAL,VIAL
1130200065,CALIB LP(A) M ( 226618 ),ST_KIMIA,ST_KIMIA,Inventaris,VIAL,VIAL
1130200071,G6PD CONTROL NORMAL,ST_KIMIA,ST_KIMIA,Inventaris,BOTOL,KIT
1130200074,CC HDL CALIB - 1E68.03,ST_KIMIA,ST_KIMIA,Inventaris,KIT,KIT
1130200081,CC ALKALINE WASH - 9D31.20,ST_KIMIA,ST_KIMIA,Inventaris,BOTOL,KIT
1130200082,CC DETERGENT A - 1J72.20,ST_KIMIA,ST_KIMIA,Inventaris,BOTOL,KIT
1130200084,ARCH CONC. WASH BUFFER - 6C54.58,ST_IMMUN,ST_IMUNO,Inventaris,BOTOL,BOX
1130200087,HITERGENT - 11223879216,ST_KIMIA,ST_KIMIA,Inventaris,KIT,KIT
1130200088,ISETROL ELECT.CTRL (3112888180),ST_KIMIA,ST_KIMIA,Inventaris,SET,KIT
PERL-OPERASIONAL2,PERALATAN OPERASIONAL CAT2,FIXASSET,FA-OPER2,Asset,UNIT,UNIT
113020001,GLUCOSA,"",ST_KIMIA,,PCS,PCS
1130100004,GOLONGAN DARAH ANTI D (Rh)  ,"",ST_HEMA,Persediaan,BOTOL,BOTOL
1130100005,CAT GIEMSA 250 ml,ST_HEMA,ST_HEMA,Inventaris,BOTOL,BOTOL
1130100006,SEDIPLAST WITH NA CITRAT 250 PCS/ PAK - PK1 LP 244177 - 250,SUPPLIES,ST_CLK,Persediaan,PCS,PCS
1130100007,BUFFER PRO GIEMSA  1000 ml,ST_HEMA,ST_HEMA,Inventaris,BOTOL,BOTOL
1130100008,CUVETTE FIBRINTIMER II,SUPPLIES,ST_HEMA,Inventaris,BOX,BOX
1130100009,PATHROMTIN SL - OQGS29,"",ST_HEMA,Persediaan,VIAL,VIAL
1130100010,METHANOL  1000 ML,REAGEN,ST_PL,Persediaan,BOTOL,BOTOL
1130100011,OIL IMMERSI 100 CC,"",ST_HEMA,Inventaris,BOTOL,BOTOL
1130100012,PLASMA CONTROL N - ORKE 41,ST_HEMA,ST_HEMA,Persediaan,BOTOL,KIT
1130100013,ENZYMATIC CLEANER 99644-01,"",ST_HEMA,Inventaris,BOTOL,KIT
1130100014,MULTI FIBRIN U - OWZG15,"",ST_HEMA,Inventaris,KIT,KIT
1130100016,STROMATOLYSER FB 5 LT ( KSO ),"",ST_HEMA,Persediaan,KIT,KIT
1139800500,NEEDLE EMG MONOPOLAR 37 MM ( 28 G ) ORANGE 48 PER PK,SUPPLIES,ST_IMUNO,Persediaan,PCS,PCS
1130309234,ROCHE CARDIAC CTRL D-DIMER  COBAS h 232  2 X 1 ml  -  4890523190,ST_IMMUN,ST_IMUNO,Inventaris,PCS,KIT
1130100019,STROMATOLYSER 4 DL ( KSO ),"",ST_HEMA,Persediaan,KIT,KIT
1130100020,STROMATOLYSER 4 DS ( KSO ),"",ST_HEMA,Persediaan,SACHET,SACHET
1130100021,TROMBOREL S - OUHP29,"",ST_HEMA,Persediaan,VIAL,KIT
1130100099,CELL CLEAN CL 50  ( KSO ),"",ST_HEMA,Inventaris,BOTOL,BOTOL
1130100023,CELL PACK PK 20 L ( KSO ),"",ST_HEMA,Inventaris,KIT,KIT
1130100024,G-6PD TRINITY Cat.345 A,"",ST_HEMA,Persediaan,KIT,KIT
1130100025,ADP CAT.5366,ST_HEMA,ST_HEMA,Inventaris,BOTOL,KIT
1130100026,COLLAGEN CAT.5368,"",ST_HEMA,Inventaris,BOTOL,KIT
1130100027,EPINEPRINE CAT.5367,"",ST_HEMA,Persediaan,BOTOL,KIT
1130100028,CUVETTE  SILICONIZET ( AGRAM )  ,SUPPLIES,ST_CL,Persediaan,BOX,BOX
1130100029,STIR BARS  ( UNTUK TAT ),"",ST_HEMA,Inventaris,KIT,KIT
1139900834,BROSUR GLYCATED ALBUMIN,CETAKAN,ST_CETAK,Inventaris,LEMBAR,LEMBAR
1130100031,DILUENT / SHEATH 20 L - 1H73.01,"",ST_HEMA,Inventaris,BOX,BOX
1130200506,CYSTATIN C CALIB - 465321,"",ST_KIMIA,,KIT,KIT
1130100033,CN FREE WIC LYSE 35 (3H62.01) XXXXX,"",ST_HEMA,Inventaris,KIT,KIT
1130309255,ANTI HSV 1 IgG - ALEGRIA ( ORG903G ),ST_IMMUN,ST_IMUNO,Inventaris,STRIP,KIT
1130100036,BCB 1% - 100 CC,"",ST_HEMA,Inventaris,BOTOL,BOTOL
1130100037,HITUNG EOSINOPHIL (  100 CC ),ST_HEMA,ST_HEMA,Inventaris,BOTOL,BOTOL
1130100038,WRIGHT GIEMSA STAIN,ST_HEMA,ST_HEMA,Inventaris,KIT,KIT
1130100039,EDTA 10 % SOLUTION,"",ST_HEMA,Inventaris,BOTOL,BOTOL
1130100040,FIBRINOGEN CALIBRATOR KIT SIEMENS - OQVK11,ST_HEMA,ST_HEMA,Inventaris,KIT,KIT
1130100041,E - CHECK XT / XE  ( NON KSO ),"",ST_HEMA,Inventaris,SET,SET
1130100042,CELL CLEAN CL 50  ( NON KSO ),"",ST_HEMA,Inventaris,BOTOL,BOTOL
1130100043,CALCIUM CHLORIDE - ORHO37,SUPPLIES,ST_HEMA,Persediaan,BOTOL,KIT
1130100045,BUFFER PRO WRIGHT - 1000 ml,"",ST_HEMA,Inventaris,BOTOL,BOTOL
1130100046,GIEMSA 500 ml MERCK - 1.09204.0.500,ST_HEMA,ST_HEMA,Inventaris,BOTOL,BOTOL
1130100047,STROMATOLYSER 4 DL ( XS-800I ),"",ST_HEMA,Persediaan,KIT,KIT
1130100048,REACTION TUBE CA-50 - 90407219,"",ST_HEMA,Inventaris,PAK,PAK
1130100049,E - CHECK XS  ( KSO ),"",ST_HEMA,Inventaris,SET,SET
1130100050,SCAL SET SOLUTION HELENA,"",ST_HEMA,Inventaris,VIAL,VIAL
1130100051,ARCH MULTI M DILUENT - 7D82.50,"",ST_IMUNO,,KIT,KIT
1130100052,RET SEARCH,"",ST_HEMA,Inventaris,BOTOL,BOTOL
1130100053,CAT WRIGHT - 100 ml,"",ST_HEMA,Inventaris,BOTOL,BOTOL
1130100054,BUFFER PRO WRIGHT - 250 ml,"",ST_HEMA,Inventaris,BOTOL,BOTOL
1139800001,AQUABIDEST STERILL 500 ML,SUPPLIES,ST_CL,Persediaan,BOTOL,BOTOL
1130100055,STD HUMAN PLASMA  ORKL13,ST_HEMA,ST_HEMA,Persediaan,VIAL,KIT
1130100056,OWREN`S VENORAL BUFFER B4234-25,"",ST_HEMA,Persediaan,BOTOL,BOTOL
1130100057,CD32K WBC LYS RGT - 3H78.01,ST_HEMA,ST_HEMA,Persediaan,KIT,KIT
1130100058,CD32K DIL/SHEATH - 3H79.01,ST_HEMA,ST_HEMA,Inventaris,BOX,BOX
1130100059,CD32/R HGB NOC - 3H80.02,ST_HEMA,ST_HEMA,Inventaris,KIT,KIT
1130100060,CD HEMCAL PLUS - 8H57.01,ST_HEMA,ST_HEMA,Inventaris,KIT,KIT
1130100061,STROMATOLYSER WH,"",ST_HEMA,Persediaan,KIT,KIT
1130100062,CD 26 PLS TRILVL QC - 8H59.01,ST_HEMA,ST_HEMA,Inventaris,SET,SET
1130100063,CD RUBY / 32 WBC LYSE 8H52.01,ST_HEMA,ST_HEMA,Inventaris,KIT,KIT
1130100064,MULTIFIBRIN U  - OWZG19,"",ST_HEMA,Inventaris,KI1,KI1
1130100065,CA CLEAN I  GSA-500A - 95406313 ,"",ST_HEMA,Inventaris,BOTOL,BOTOL
1130100066,STD HUMAN PLASMA  ORKL17,ST_HEMA,ST_HEMA,Persediaan,VIAL,KIT
1130100067,THROMBIN B4233-25,"",ST_HEMA,Inventaris,BOTOL,KIT
1130100068,REES ECKER 100 ML,"",ST_HEMA,Inventaris,BOTOL,BOTOL
1130100069,SULFOLYSER SLS - 210 A ( NON KSO ),ST_HEMA,ST_HEMA,Inventaris,BOTOL,BOTOL
1130100070,STROMATOLYSER FB 5 LT ( NON KSO ),"",ST_HEMA,Inventaris,KIT,KIT
1130100071,STROMATOLYSER 4 DL ( NON KSO ),"",ST_HEMA,Persediaan,KIT,KIT
1130100072,STROMATOLYSER 4 DS ( NON KSO ),"",ST_HEMA,Persediaan,SACHET,SACHET
1130100074,XN CHECK -  ( L1.L2.L3 )  3 X 3 ML,ST_HEMA,ST_HEMA,Inventaris,SET,SET
1130100075,FLOUROCELL WPC - BU306227,"",ST_HEMA,Inventaris,KIT,KIT
1130100076,FLOUROCELL RET - BN337547,"",ST_HEMA,Inventaris,KIT,KIT
1130100077,FLOUROCELL PLT - CD994563,ST_HEMA,ST_HEMA,Inventaris,KIT,KIT
1130100078,FLUOROCELL WNR - CP066715,"",ST_HEMA,Inventaris,KIT,KIT
1130100079,FLUOROCELL WDF - CV377552,"",ST_HEMA,Inventaris,KIT,KIT
1130100080,CELL PACK DCL  - CT661628,"",ST_HEMA,Inventaris,BOX,BOX
1130100081,LYSERCELL WNR - AN577063,"",ST_HEMA,Inventaris,KIT,KIT
1130100082,LYSERCELL WDF - AW993605,"",ST_HEMA,Inventaris,KIT,KIT
1130100083,LYSERCELL WPC - CS412800,ST_HEMA,ST_HEMA,Inventaris,KIT,KIT
1130100084,CELL PACK DFL - BT965910,"",ST_HEMA,Inventaris,KIT,KIT
1130100085,"SULFOLYSER 1,5 - BJ350971","",ST_HEMA,Inventaris,BOTOL,BOTOL
1130100086,PFA COLLAGEN / EPI TEST - B417020,ST_HEMA,ST_HEMA,Persediaan,KIT,KIT
1130100087,PFA COLLAGEN / ADP TEST - B417021,ST_HEMA,ST_HEMA,Persediaan,KIT,KIT
1130100088,INNOVANCE PFA P2Y - B417022,"",ST_HEMA,Inventaris,KIT,KIT
1130100089,PFA TRIGGER SOL - B417050,ST_HEMA,ST_HEMA,Inventaris,KIT,KIT
1130100090,PFA VACUUM TEST TUBE - B417075,SUPPLIES,ST_HEMA,Persediaan,PAK,PAK
1130100091,PFA CLEANING PADS - B417073,ST_HEMA,ST_HEMA,Inventaris,KIT,KIT
1130100092,XN CHECK ( L1 ) - BV661822,ST_HEMA,ST_HEMA,Inventaris,VIAL,VIAL
1130100093,XN CHECK ( L2 ) - AK060533,ST_HEMA,ST_HEMA,Inventaris,VIAL,VIAL
1130100094,XN CHECK ( L3 ) - BR875289,ST_HEMA,ST_HEMA,Inventaris,VIAL,VIAL
1130100095,XN CHECK BF - BY698063,ST_HEMA,ST_HEMA,Inventaris,KIT,KIT
1130100097,E - CHECK XT  ( KSO ),"",ST_HEMA,Inventaris,SET,SET
1130400248,COCAIN VICARE,"",ST_KR,,TES,TES
1139900731,AZOMAX ( TISSUE DISINFECTAN ) ,"",ST_MIKRO,,PAK,PAK
1130200095,MAGNESIUM LIQ ( WITH LCF ) MONO - HUMAN ( 10010 ),ST_KIMIA,ST_KIMIA,Inventaris,KIT,KIT
1130100098,DADE INOVIN  ( B421240 ) -  SIEMENS,"",ST_HEMA,Inventaris,BOTOL,KIT
1130500134,BACT ALERT ®  PF PLUS REF 410853  -  10853 ( BIOMERIEUX ) - AEROBIC PEDIATRIC,REAGEN,ST_MIKRO,Persediaan,BOTOL,BOX
1130200510,CC UIBC -  4P79.30,"",ST_KIMIA,,KIT,KIT
1130200075,SODIUM ELEKTRODE COND.  - 3110362180,ST_KIMIA,ST_CL,Inventaris,KIT,KIT
1130200513,DEPROTONEISER CIII - 20763071122,"",ST_KIMIA,,VIAL,VIAL
1130400244,METAMPHETAMIN VICARE,"",ST_KR,,PCS,PCS
1130400246,THC / CANNABINOID-  VICARE,ST_KIMIA,ST_KR,Inventaris,PCS,PCS
1130400245,MORPHINE VICARE,"",ST_KR,,TES,TES
1139900757,KOPI SACHET KEMASAN ISI 10,KONSUMSI,ST_RTU,Inventaris,PAK,PAK
